month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
201812,connecticut,ct,339900,-0.0233,0.0012,20642,-0.1125,0.038,99,0.1314,0.0645,2848,-0.2426,0.0755,84,-0.125,-0.16,2448,-0.4496,0.1067,70,-0.0667,0.1111,177,-0.0046,-0.0095,1913,-0.0134,0.0132,729564,0.0012,0.0205,20710,-0.1125,0.038,0.0034,2.00E-04,2.00E-04,0
201812,vermont,vt,285000,0,0.0674,4919,-0.0766,-0.0749,150,0.107,-0.0909,416,-0.2296,-0.0545,8,-0.6,-0.6667,368,-0.3235,0,603,-0.1829,-0.0305,143,-7.00E-04,0.0332,2012,0.003,0.0213,404149,0.0181,0.0328,5522,-0.0895,-0.0702,0.1226,-0.016,0.0056,0
201812,new jersey,nj,349900,-0.0226,0.1111,44765,-0.0862,0.0217,78,0.1642,-0.037,9056,-0.2575,-0.0178,324,-0.1196,-0.0581,7616,-0.3146,0.2727,812,-0.1077,-0.2488,162,-0.0119,0.0703,1825,-0.0167,0.0201,519137,-0.0217,0.0536,45577,-0.0866,0.0151,0.0181,-4.00E-04,-0.0065,0
201812,minnesota,mn,269900,-0.0075,0.0465,17551,-0.1207,0.0839,85,0.2782,-0.0761,4440,-0.202,0.1961,396,-0.7585,-0.4375,2896,-0.6011,-0.0216,7227,-0.1533,-0.0453,138,-6.00E-04,0.0683,2040,-0.0054,-0.0116,361148,-0.0024,0.0249,24778,-0.1305,0.0428,0.4118,-0.0158,-0.0557,0
201812,maryland,md,319500,-0.0169,0.065,20660,-0.1057,0.03,73,0.1406,-0.0519,5148,-0.2658,0.028,444,-0.1654,-0.0348,4736,-0.3516,0.2257,2770,-0.1085,-0.228,167,-0.0095,-0.0743,1872,-0.0147,0.007,414468,-0.0272,0.0114,23430,-0.1058,-0.0045,0.1341,-4.00E-04,-0.0448,0
201812,hawaii,hi,698000,0.019,0.0205,6049,0.0087,0.1223,84,0.0182,-0.0345,1512,-0.1467,0.0618,48,0.0909,-0.2941,1032,-0.0115,0.3723,897,0.0275,0.4082,503,0.012,-0.0053,1382,0.0095,0.011,1274244,0.0223,-0.0588,6924,0.0077,0.1473,0.1483,0.0027,0.0301,0
201812,alabama,al,214999,0,0.0914,23849,-0.0419,-0.0756,102,0.0737,-0.0377,4308,-0.1566,-0.0164,488,-0.0394,0.1845,3752,-0.238,0.1288,1499,-0.1188,0.1063,102,0.0044,0.079,1978,-0.0043,-0.0174,284741,-0.002,0.0673,25348,-0.0468,-0.0665,0.0629,-0.0055,0.0103,0
201812,oregon,or,414900,-2.00E-04,0.0375,15490,-0.1097,0.1245,81,0.1489,-0.0471,3464,-0.2988,-0.0237,256,-0.1579,-0.0857,2956,-0.4208,0.3011,1556,-0.1483,-0.1493,211,-0.0016,0.0542,1970,-0.0078,-0.0228,555239,5.00E-04,0.0211,17046,-0.1133,0.0924,0.1005,-0.0046,-0.0323,0
201812,louisiana,la,220000,-0.0028,0.0329,19782,-0.0144,0.0836,95,0.0674,0.0795,3556,-0.146,-0.0231,136,-0.0556,-0.2273,3064,-0.2834,0.115,2741,-0.0945,0.3864,117,-5.00E-04,0.0471,1899,-0.0026,-0.0058,290302,-0.0062,0.0098,22523,-0.0249,0.1132,0.1386,-0.0122,0.0303,0
201812,kansas,ks,169000,-0.0337,0.0629,10362,-0.0668,0.0177,85,0.1565,-0.0116,2204,-0.2936,-0.0893,136,0.1333,0.1333,1632,-0.3733,0.1087,701,-0.1952,-0.1595,85,-0.0176,0.077,1944,-0.0207,0.034,252646,-0.0101,0.0835,11063,-0.0762,0.0043,0.0677,-0.0108,-0.0143,0
201812,california,ca,525000,-0.0268,0.0521,82015,-0.1205,0.3429,59,0.2041,0.0351,24316,-0.3203,0.0794,6488,-0.1107,-0.0339,27008,-0.3145,0.6092,29411,-0.1125,0.0945,294,-0.0211,0.091,1803,-0.0052,-0.043,969764,-0.0149,-0.0471,111426,-0.1184,0.267,0.3586,0.0032,-0.0814,0
201812,tennessee,tn,268288,-0.0026,0.0736,29391,-0.0649,0.0179,74,0.1212,-0.039,7448,-0.2486,-0.0337,588,-0.0516,0.2783,5168,-0.3378,0.2075,8156,-0.1154,0.0605,128,0,0.0936,2118,-0.0026,0.0028,360361,-0.0045,0.0566,37118,-0.087,0.0152,0.2775,-0.0158,0.0111,0
201812,indiana,in,179900,-5.00E-04,0.1251,20556,-0.0829,-0.0332,74,0.1473,-0.0513,4956,-0.3012,-0.0328,180,-0.1667,-0.1509,4048,-0.4273,0.2062,2551,-0.1508,-0.4302,91,-0.0044,0.0801,1930,-0.0148,0.0153,242872,-0.0248,0.0592,23107,-0.0913,-0.1023,0.1241,-0.0099,-0.0865,0
201812,massachusetts,ma,479000,-0.0103,0.0436,17196,-0.171,0.1328,75,0.2097,-0.0506,3588,-0.4404,0.0216,160,-0.0476,-0.2453,2956,-0.545,0.2808,1885,-0.2149,-0.057,249,-0.0032,0.0561,1875,-0.0106,-0.0168,748584,0.0024,-0.0158,19081,-0.1756,0.1107,0.1096,-0.0061,-0.0221,0
201812,delaware,de,299900,0,0.0749,4982,-0.0557,-0.1154,102,0.0909,-0.0556,836,-0.2718,-0.0793,76,-0.587,-0.6042,824,-0.2536,0.1705,175,-0.0979,4,147,0.0023,0.0401,1972,-0.008,0.0379,386560,-0.0172,0.0632,5156,-0.0581,-0.0902,0.0351,-0.0016,0.0289,0
201811,kentucky,ky,197650,-0.009,0.0833,16414,-0.0134,0.0018,77,0.0621,-0.0314,4404,-0.1653,-0.0325,248,0.1481,0.1071,4720,-0.0232,0.2743,5262,-0.0871,-0.1074,102,0.0022,0.0642,1942,-0.013,-0.0036,268079,-0.0089,0.0472,21725,-0.0301,-0.0249,0.3206,-0.0259,-0.0392,0
201811,new york,ny,436500,0.0116,0.1959,73450,-0.0367,0.0733,84,0.0435,-0.0667,15448,-0.2526,0.0601,816,-0.1937,-0.2273,14724,-0.2133,0.2069,12527,-0.0363,-0.0053,193,0.0148,0.165,1800,0,0,1013546,0.0182,0.033,85977,-0.0367,0.0611,0.1706,1.00E-04,-0.0135,0
201811,alabama,al,215000,1.00E-04,0.0861,24891,-0.0248,-0.0792,95,0.0556,-0.0206,5108,-0.0872,-0.0541,508,-0.1419,-0.1645,4924,-0.1232,0.0415,1701,-0.071,0.0167,102,5.00E-04,0.0748,1987,-0.0015,-0.0159,285322,0,0.0505,26592,-0.0285,-0.0734,0.0683,-0.0034,0.0065,0
201811,district of columbia,dc,622450,-0.0197,0.0375,1842,0.0016,0.0867,41,0.3016,-0.0465,824,-0.2482,-0.0844,36,-0.3077,0.8,624,-0.1832,0.2581,335,-0.1207,-0.1908,511,-0.022,-0.0251,1358,0.0327,0.1293,906173,-0.0221,-0.0525,2177,-0.0194,0.0327,0.1819,-0.0253,-0.0624,0
201811,idaho,id,329900,0,0.1033,8703,-0.0714,-0.1101,71,0.1008,-0.1013,2448,-0.1524,0.0756,220,0.25,-0.127,2052,-0.2914,0.14,435,-0.1335,-0.029,159,-0.0023,0.1364,2159,-0.0025,-0.0171,521304,-0.0074,0.0618,9146,-0.0737,-0.1058,0.05,-0.0036,0.0042,0
201811,maryland,md,325000,-0.0135,0.0319,23101,-0.0292,-0.0328,64,0.0667,-0.0986,7012,-0.1758,-0.1033,532,-0.05,0.0231,7304,-0.1647,0.1073,3107,-0.0419,-0.2585,169,-0.0192,0.0338,1900,0.0032,-0.0929,426070,-0.0168,0.0121,26202,-0.031,-0.0667,0.1345,-0.0018,-0.0409,0
201811,iowa,ia,199500,-0.002,0.0556,14048,-0.0193,0.0374,78,0.0909,0.0263,3612,-0.1258,0.0985,168,-0.5333,-0.5116,3152,-0.2717,-0.0331,3845,-0.0876,0.2472,117,0,0.0712,1649,-0.0015,0,238742,-0.0069,0.0301,17893,-0.036,0.0763,0.2737,-0.0205,0.046,0
201811,louisiana,la,220608,-0.0063,0.0261,20072,-0.0087,0.08,89,0.0349,0.0723,4164,-0.114,-0.0828,144,-0.1,-0.1,4276,-0.1648,0.021,3027,-0.0591,0.4033,117,2.00E-04,0.045,1904,-0.0029,-0.0088,292100,-0.0058,0.0099,23099,-0.0157,0.1133,0.1508,-0.0081,0.0347,0
201811,kansas,ks,174900,-0.0267,0.0671,11104,-0.0119,0.0202,74,0.028,-0.0265,3120,-0.1549,0.0598,120,-0.3023,-0.2683,2604,-0.1675,0.0886,871,-0.1436,-0.1535,87,-0.0071,0.0807,1985,-0.0112,0.0374,255225,-0.0184,0.072,11975,-0.0208,0.0051,0.0784,-0.0121,-0.0161,0
201811,florida,fl,325000,0,0.0156,153510,0.0408,0.1042,78,-0.019,-0.1143,45116,0.0181,0.0274,4560,-0.0096,-0.1183,50180,-0.0473,0.1143,44487,-0.0403,-0.065,179,0.0058,0.0314,1777,-0.0036,-0.0141,626151,0.0075,0.004,198175,0.0222,0.062,0.2898,-0.0245,-0.0524,0
201811,pennsylvania,pa,200000,-0.0182,0.0168,48273,-0.0349,-0.0871,81,0.0592,-0.064,11984,-0.1839,-0.0727,532,-0.3,-0.2222,12568,-0.2202,0.0026,7703,-0.0517,0.2059,116,-4.00E-04,0.2409,1802,-0.0083,-0.005,298219,-0.0054,0.0419,55976,-0.0373,-0.0556,0.1596,-0.0028,0.0388,0
201811,oregon,or,415000,-0.0106,0.0377,17398,-0.0645,0.1077,71,0.0846,-0.0662,4940,-0.1891,0.0148,304,-0.1364,0.0857,5104,-0.2341,0.2697,1827,-0.0883,-0.1325,212,-0.001,0.0558,1986,-0.0072,-0.0214,554968,0.0027,0.0329,19225,-0.0668,0.0784,0.105,-0.0027,-0.0291,0
201811,mississippi,ms,190000,-0.0231,0.0512,11476,-0.0237,-0.0513,102,0.0408,0.0303,2124,-0.1338,-0.1449,112,0,-0.2222,2136,-0.1415,0.0133,2059,-0.0269,0.3627,95,-7.00E-04,0.0344,2002,-0.0084,0.001,251181,-0.0034,0.0493,13559,-0.0211,-0.0045,0.1794,-6.00E-04,0.0545,0
201811,new hampshire,nh,322450,-0.0057,0.0775,6410,-0.0944,-0.0702,83,0.0779,-0.1075,1476,-0.1478,-0.0416,60,-0.2857,-0.1176,1480,-0.0819,0.1746,1947,-0.117,-0.1729,161,0.0014,0.0609,2000,0.0025,0.0096,425085,0.0023,0.0453,8357,-0.1002,-0.0963,0.3037,-0.0078,-0.0377,0
201811,utah,ut,384450,-0.0014,0.0682,13008,-0.0165,0.1206,56,0.0673,-0.112,4900,-0.1168,0.086,412,-0.0965,-0.2746,4084,-0.1713,0.3294,6499,-0.0559,-0.0414,146,3.00E-04,0.0969,2630,-0.009,-0.0221,632603,0.001,0.0242,19556,-0.0262,0.0618,0.4996,-0.0209,-0.0845,0
201811,oklahoma,ok,190181,0.0015,0.0478,17608,-0.0251,-0.0493,74,0.0208,0.0068,4540,-0.0365,-0.0061,252,-0.5,0.2115,4124,-0.2678,-0.0134,2280,-0.0858,14.0993,99,0.0061,0.0359,1937,0.0049,0.0068,262602,0.0063,0.0635,19895,-0.033,0.0657,0.1295,-0.0086,0.1213,0
201811,south dakota,sd,232950,0.0011,0.0358,3734,-0.0585,-0.0202,66,0.1186,0.0076,828,-0.2737,-0.019,16,-0.4286,0,608,-0.2124,0.1969,192,-0.183,0.3714,118,-0.0079,0.0456,1996,0.0135,-0.0047,289284,-0.0021,0.0108,3927,-0.0654,-0.0073,0.0514,-0.0078,0.0147,0
201811,wisconsin,wi,229950,-0.0211,0.15,21422,-0.0661,-0.1512,83,0.1,-0.1081,5220,-0.2028,0.0821,432,-0.1148,0.3671,5416,-0.241,0.1265,6643,-0.133,0.3848,125,-0.0057,0.0862,1787,-0.0042,0.0185,309811,-0.0096,0.0917,28066,-0.0828,-0.0656,0.3101,-0.0239,0.12,0
201811,indiana,in,179998,-0.0147,0.0916,22415,-0.0314,-0.0582,65,0.084,-0.0979,7092,-0.1822,-0.0134,216,-0.129,-0.1,7068,-0.17,0.1459,3004,-0.0944,-0.4214,92,-6.00E-04,0.0801,1959,-0.0116,0.015,249056,9.00E-04,0.0549,25428,-0.038,-0.1256,0.134,-0.0093,-0.0841,0
201811,ohio,oh,169900,-0.023,0.1068,35964,-0.0296,-0.0368,64,0.0496,-0.0993,12744,-0.1401,0.056,384,-0.6779,-0.6391,11420,-0.312,-0.0838,15751,-0.0815,-0.0635,95,-2.00E-04,0.0283,1795,-0.008,0.0697,248804,-0.0063,0.0746,51715,-0.0451,-0.0454,0.438,-0.0247,-0.0125,0
201811,georgia,ga,284450,-0.0018,0.0588,71058,-0.0142,0.0895,66,0.0154,-0.0704,22040,-0.1266,0.0821,3364,-0.3866,-0.1138,22308,-0.2579,0.2082,24974,-0.0342,0.8894,115,0.0034,0.0665,2383,-0.005,0.0015,391617,0.0054,0.051,96188,-0.0192,0.2263,0.3515,-0.0073,0.1488,0
